instance,num agents,algorithm,length,loops
0,2,Window8,17,0
0,2,Window4,17,0
0,2,Window2,17,0
1,3,Window8,25,0
1,3,Window4,25,0
1,3,Window2,25,0
2,4,Window8,50,0
2,4,Window4,51,0
2,4,Window2,51,0
3,5,Window8,45,0
3,5,Window4,44,0
3,5,Window2,44,0
4,6,Window8,48,0
4,6,Window4,51,0
4,6,Window2,52,0
5,7,Window8,64,0
5,7,Window4,65,0
5,7,Window2,66,0
6,8,Window8,78,0
6,8,Window4,80,0
6,8,Window2,70,0
7,9,Window8,89,0
7,9,Window4,89,0
7,9,Window2,89,0
8,10,Window8,99,0
8,10,Window4,101,0
8,10,Window2,101,0
9,11,Window8,73,0
9,11,Window4,73,0
9,11,Window2,73,0
10,12,Window8,108,0
10,12,Window4,108,0
10,12,Window2,108,0
11,13,Window8,106,0
11,13,Window4,113,0
11,13,Window2,123,0
12,14,Window8,133,0
12,14,Window4,132,0
12,14,Window2,133,0
13,15,Window8,129,0
13,15,Window4,133,0
13,15,Window2,129,0
14,16,Window8,125,0
14,16,Window4,125,0
14,16,Window2,121,0
15,17,Window8,174,0
15,17,Window4,168,0
15,17,Window2,171,0
16,18,Window8,133,0
16,18,Window4,133,0
16,18,Window2,149,0
17,19,Window8,158,0
17,19,Window4,157,0
17,19,Window2,156,0
18,20,Window8,173,0
18,20,Window4,171,0
18,20,Window2,172,0
19,21,Window8,192,0
19,21,Window4,191,0
19,21,Window2,196,0
20,22,Window8,167,0
20,22,Window4,174,0
20,22,Window2,165,0
21,23,Window8,194,0
21,23,Window4,202,0
21,23,Window2,209,0
22,24,Window8,224,0
22,24,Window4,225,0
22,24,Window2,226,0
23,25,Window8,220,0
23,25,Window4,222,0
23,25,Window2,242,1
24,26,Window8,249,0
24,26,Window4,259,0
24,26,Window2,252,0
25,27,Window8,274,0
25,27,Window4,276,0
25,27,Window2,285,1
26,28,Window8,NA,NA
26,28,Window4,293,0
26,28,Window2,NA,NA
27,29,Window8,273,0
27,29,Window4,281,0
27,29,Window2,288,0
28,30,Window8,300,0
28,30,Window4,292,0
28,30,Window2,299,0
29,31,Window8,267,0
29,31,Window4,276,0
29,31,Window2,276,1
30,32,Window8,NA,NA
30,32,Window4,302,3
30,32,Window2,299,0
31,33,Window8,NA,NA
31,33,Window4,275,0
31,33,Window2,276,0
32,34,Window8,NA,NA
32,34,Window4,NA,NA
32,34,Window2,340,2
33,35,Window8,NA,NA
33,35,Window4,NA,NA
33,35,Window2,328,0
34,36,Window8,NA,NA
34,36,Window4,NA,NA
34,36,Window2,363,2
35,37,Window8,NA,NA
35,37,Window4,NA,NA
35,37,Window2,356,0
36,38,Window8,NA,NA
36,38,Window4,NA,NA
36,38,Window2,355,0
37,39,Window8,NA,NA
37,39,Window4,NA,NA
37,39,Window2,NA,NA
38,40,Window8,NA,NA
38,40,Window4,NA,NA
38,40,Window2,NA,NA
39,2,Window8,28,0
39,2,Window4,28,0
39,2,Window2,28,0
40,3,Window8,31,0
40,3,Window4,31,0
40,3,Window2,31,0
41,4,Window8,40,0
41,4,Window4,40,0
41,4,Window2,40,0
42,5,Window8,63,0
42,5,Window4,63,0
42,5,Window2,63,0
43,6,Window8,42,0
43,6,Window4,42,0
43,6,Window2,42,0
44,7,Window8,47,0
44,7,Window4,47,0
44,7,Window2,47,0
45,8,Window8,65,0
45,8,Window4,65,0
45,8,Window2,65,0
46,9,Window8,78,0
46,9,Window4,78,0
46,9,Window2,83,0
47,10,Window8,108,0
47,10,Window4,108,0
47,10,Window2,104,0
48,11,Window8,108,0
48,11,Window4,108,0
48,11,Window2,109,0
49,12,Window8,87,0
49,12,Window4,87,0
49,12,Window2,87,0
50,13,Window8,117,0
50,13,Window4,116,0
50,13,Window2,116,0
51,14,Window8,141,0
51,14,Window4,142,0
51,14,Window2,146,0
52,15,Window8,127,0
52,15,Window4,127,0
52,15,Window2,129,0
53,16,Window8,137,0
53,16,Window4,138,0
53,16,Window2,139,0
54,17,Window8,132,0
54,17,Window4,127,0
54,17,Window2,132,0
55,18,Window8,175,0
55,18,Window4,176,0
55,18,Window2,180,0
56,19,Window8,202,1
56,19,Window4,201,2
56,19,Window2,226,9
57,20,Window8,152,0
57,20,Window4,151,0
57,20,Window2,153,0
58,21,Window8,193,0
58,21,Window4,198,0
58,21,Window2,207,0
59,22,Window8,185,0
59,22,Window4,185,0
59,22,Window2,185,0
60,23,Window8,206,1
60,23,Window4,205,0
60,23,Window2,207,0
61,24,Window8,219,0
61,24,Window4,230,0
61,24,Window2,NA,NA
62,25,Window8,237,0
62,25,Window4,250,0
62,25,Window2,246,0
63,26,Window8,190,0
63,26,Window4,208,0
63,26,Window2,203,0
64,27,Window8,256,0
64,27,Window4,275,0
64,27,Window2,264,0
65,28,Window8,249,0
65,28,Window4,254,1
65,28,Window2,271,0
66,29,Window8,247,0
66,29,Window4,241,0
66,29,Window2,245,0
67,30,Window8,NA,NA
67,30,Window4,NA,NA
67,30,Window2,NA,NA
68,31,Window8,313,0
68,31,Window4,312,0
68,31,Window2,313,0
69,32,Window8,323,0
69,32,Window4,329,0
69,32,Window2,NA,NA
70,33,Window8,NA,NA
70,33,Window4,NA,NA
70,33,Window2,NA,NA
71,34,Window8,NA,NA
71,34,Window4,349,1
71,34,Window2,335,1
72,35,Window8,NA,NA
72,35,Window4,NA,NA
72,35,Window2,NA,NA
73,36,Window8,NA,NA
73,36,Window4,NA,NA
73,36,Window2,NA,NA
74,37,Window8,NA,NA
74,37,Window4,NA,NA
74,37,Window2,NA,NA
75,38,Window8,NA,NA
75,38,Window4,NA,NA
75,38,Window2,344,0
76,39,Window8,NA,NA
76,39,Window4,NA,NA
76,39,Window2,NA,NA
77,40,Window8,NA,NA
77,40,Window4,NA,NA
77,40,Window2,NA,NA
78,2,Window8,21,0
78,2,Window4,21,0
78,2,Window2,21,0
79,3,Window8,36,0
79,3,Window4,36,0
79,3,Window2,36,0
80,4,Window8,36,0
80,4,Window4,36,0
80,4,Window2,36,0
81,5,Window8,52,0
81,5,Window4,52,0
81,5,Window2,52,0
82,6,Window8,55,0
82,6,Window4,58,0
82,6,Window2,58,0
83,7,Window8,50,0
83,7,Window4,52,0
83,7,Window2,52,0
84,8,Window8,69,0
84,8,Window4,69,0
84,8,Window2,69,0
85,9,Window8,75,0
85,9,Window4,81,0
85,9,Window2,81,0
86,10,Window8,86,0
86,10,Window4,84,0
86,10,Window2,84,0
87,11,Window8,109,0
87,11,Window4,112,0
87,11,Window2,113,0
88,12,Window8,128,0
88,12,Window4,128,0
88,12,Window2,134,0
89,13,Window8,123,0
89,13,Window4,133,0
89,13,Window2,125,0
90,14,Window8,103,0
90,14,Window4,103,0
90,14,Window2,103,0
91,15,Window8,108,0
91,15,Window4,112,0
91,15,Window2,115,0
92,16,Window8,141,0
92,16,Window4,148,0
92,16,Window2,148,0
93,17,Window8,139,0
93,17,Window4,139,0
93,17,Window2,141,0
94,18,Window8,179,0
94,18,Window4,180,1
94,18,Window2,178,0
95,19,Window8,172,0
95,19,Window4,175,0
95,19,Window2,173,1
96,20,Window8,202,0
96,20,Window4,205,0
96,20,Window2,206,0
97,21,Window8,210,0
97,21,Window4,211,0
97,21,Window2,212,0
98,22,Window8,182,0
98,22,Window4,184,0
98,22,Window2,191,0
99,23,Window8,192,0
99,23,Window4,191,1
99,23,Window2,197,0
100,24,Window8,214,0
100,24,Window4,227,0
100,24,Window2,229,0
101,25,Window8,242,0
101,25,Window4,235,0
101,25,Window2,237,0
102,26,Window8,238,0
102,26,Window4,230,1
102,26,Window2,236,0
103,27,Window8,233,0
103,27,Window4,238,0
103,27,Window2,241,0
104,28,Window8,288,0
104,28,Window4,301,0
104,28,Window2,309,0
105,29,Window8,260,0
105,29,Window4,256,0
105,29,Window2,255,0
106,30,Window8,278,0
106,30,Window4,269,0
106,30,Window2,275,0
107,31,Window8,NA,NA
107,31,Window4,286,0
107,31,Window2,272,0
108,32,Window8,NA,NA
108,32,Window4,320,0
108,32,Window2,331,0
109,33,Window8,280,0
109,33,Window4,279,0
109,33,Window2,278,0
110,34,Window8,NA,NA
110,34,Window4,NA,NA
110,34,Window2,NA,NA
111,35,Window8,NA,NA
111,35,Window4,NA,NA
111,35,Window2,NA,NA
112,36,Window8,NA,NA
112,36,Window4,NA,NA
112,36,Window2,NA,NA
113,37,Window8,NA,NA
113,37,Window4,NA,NA
113,37,Window2,NA,NA
114,38,Window8,NA,NA
114,38,Window4,NA,NA
114,38,Window2,NA,NA
115,39,Window8,NA,NA
